City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kruisfontein,-34.0033,24.7314,59.88,83,20,2.51,ZA,1669867295
1,castro,-24.7911,-50.0119,58.96,98,60,4.45,BR,1669867295
2,mareeba,-17.0,145.4333,80.44,80,100,0.31,AU,1669867296
3,tautira,-17.7333,-149.15,78.24,83,31,14.38,PF,1669867291
4,dikson,73.5069,80.5464,22.53,94,100,14.63,RU,1669867296
5,vardo,70.3705,31.1107,31.98,86,100,8.05,NO,1669867297
6,hermanus,-34.4187,19.2345,63.99,83,99,4.54,ZA,1669867297
7,pangai,-19.8,-174.35,80.76,77,64,9.66,TO,1669867297
8,chuy,-33.6971,-53.4616,70.27,87,60,14.58,UY,1669867298
9,susehri,40.1644,38.0867,47.86,82,78,2.48,TR,1669867299
10,wonthaggi,-38.6044,145.5913,62.82,64,66,9.13,AU,1669867299
11,mattru,7.6244,-11.8332,73.2,96,87,0.98,SL,1669867300
12,rikitea,-23.1203,-134.9692,73.02,73,74,13.06,PF,1669867301
13,wukari,7.85,9.7833,69.3,31,97,5.28,NG,1669867301
14,manacapuru,-3.2997,-60.6206,77.18,88,98,3.67,BR,1669867301
15,kurchum,48.5722,83.6542,2.23,75,100,3.33,KZ,1669867302
16,ushuaia,-54.8,-68.3,40.42,91,65,7.74,AR,1669867302
17,mataura,-46.1927,168.8643,50.49,55,82,9.22,NZ,1669867303
18,ancud,-41.8697,-73.8203,44.65,83,2,4.74,CL,1669867303
19,new norfolk,-42.7826,147.0587,61.92,36,9,4.76,AU,1669867303
20,waddan,29.1614,16.139,50.61,52,0,0.63,LY,1669867304
21,saint-augustin,51.226,-58.6502,17.8,92,100,1.32,CA,1669867304
22,hofn,64.2539,-15.2082,45.88,81,63,22.66,IS,1669867277
23,jamestown,42.097,-79.2353,29.71,97,100,16.11,US,1669867260
24,lucea,18.451,-78.1736,76.86,77,5,11.72,JM,1669867305
25,ambilobe,-13.2,49.05,78.33,75,56,1.36,MG,1669867305
26,hearst,49.6835,-83.6665,23.94,90,100,17.54,CA,1669867306
27,georgetown,5.4112,100.3354,87.73,74,20,9.22,MY,1669867009
28,turka,49.1541,23.0297,28.8,90,82,3.47,UA,1669867306
29,avarua,-21.2078,-159.775,80.65,78,75,13.8,CK,1669867306
30,manta,-0.95,-80.7333,72.77,81,99,11.03,EC,1669867250
31,punta arenas,-53.15,-70.9167,48.11,61,95,27.2,CL,1669867307
32,vaini,-21.2,-175.2,82.56,83,75,11.5,TO,1669867307
33,puerto ayora,-0.7393,-90.3518,69.55,89,63,7.0,EC,1669867308
34,byron bay,-28.65,153.6167,62.94,89,100,21.63,AU,1669867308
35,novopokrovka,49.8425,36.5477,28.11,40,100,13.71,UA,1669867309
36,hobart,-42.8794,147.3294,62.26,59,75,12.66,AU,1669867309
37,kodiak,57.79,-152.4072,31.51,59,100,3.44,US,1669867219
38,shitanjing,39.2342,106.3439,14.14,15,0,3.31,CN,1669867309
39,sungai petani,5.647,100.4877,87.67,65,100,0.96,MY,1669867310
40,cape town,-33.9258,18.4232,64.81,87,20,4.61,ZA,1669867036
41,cherskiy,68.75,161.3,16.93,96,100,7.49,RU,1669867310
42,bethel,41.3712,-73.414,44.49,58,33,5.01,US,1669867311
43,bulgan,48.8125,103.5347,-1.37,68,2,2.89,MN,1669867311
44,atuona,-9.8,-139.0333,77.92,75,62,12.91,PF,1669867311
45,bobcaygeon,44.5462,-78.542,27.88,73,99,17.94,CA,1669867312
46,arraial do cabo,-22.9661,-42.0278,74.14,92,98,24.02,BR,1669867312
47,port elizabeth,-33.918,25.5701,64.31,93,28,1.01,ZA,1669867217
48,nanortalik,60.1432,-45.2371,26.37,77,59,32.48,GL,1669867313
49,fortuna,40.5982,-124.1573,49.35,95,100,19.57,US,1669867313
50,provideniya,64.3833,-173.3,28.51,74,100,2.24,RU,1669867314
51,mayumba,-3.432,10.6554,76.15,88,100,5.35,GA,1669867314
52,shimoda,34.6667,138.95,52.11,86,100,11.45,JP,1669867314
53,kaitangata,-46.2817,169.8464,59.74,50,58,11.74,NZ,1669867315
54,busselton,-33.65,115.3333,74.61,52,36,12.39,AU,1669867315
55,tuatapere,-46.1333,167.6833,56.57,58,79,15.88,NZ,1669867316
56,saint-joseph,-21.3667,55.6167,80.47,72,14,6.67,RE,1669867316
57,liverpool,53.4106,-2.9779,43.34,94,100,4.61,GB,1669867165
58,luderitz,-26.6481,15.1594,61.7,81,5,11.39,NA,1669867182
59,otradnoye,59.7775,30.8181,23.09,90,94,3.71,RU,1669867239
60,hovd,48.0056,91.6419,1.26,64,42,1.21,MN,1669867317
61,komsomolskiy,40.4272,71.7189,48.92,61,100,20.71,UZ,1669867318
62,nemuro,43.3236,145.575,30.49,46,46,26.57,JP,1669867318
63,airai,-8.9266,125.4092,71.58,69,85,2.35,TL,1669867318
64,tual,-5.6667,132.75,81.23,78,100,15.52,ID,1669867319
65,lavrentiya,65.5833,-171.0,20.7,91,92,5.1,RU,1669867319
66,tikhvin,59.6451,33.5294,14.25,91,79,3.49,RU,1669867264
67,machilipatnam,16.1667,81.1333,79.79,69,8,8.97,IN,1669867320
68,lebyazhye,55.2689,66.4947,5.16,78,100,9.26,RU,1669867321
69,aden,12.7794,45.0367,78.73,71,1,13.85,YE,1669867321
70,anloga,5.7947,0.8973,79.86,80,78,7.38,GH,1669867322
71,izumo,35.3667,132.7667,46.96,67,99,11.74,JP,1669867322
72,port alfred,-33.5906,26.891,65.17,93,81,4.32,ZA,1669867323
73,thompson,55.7435,-97.8558,-23.01,97,48,4.61,CA,1669867244
74,okhotsk,59.3833,143.3,-2.22,98,100,11.34,RU,1669867324
75,aklavik,68.2191,-135.0107,2.37,97,100,4.34,CA,1669867324
76,wairoa,-39.0333,177.3667,62.55,75,74,4.0,NZ,1669867325
77,roald,62.5833,6.1333,41.32,87,43,12.66,NO,1669867325
78,hasaki,35.7333,140.8333,50.4,77,100,20.27,JP,1669867326
79,victoria,22.2855,114.1577,64.33,71,100,11.99,HK,1669867231
80,kapaa,22.0752,-159.319,78.78,85,88,1.01,US,1669867326
81,derzhavinsk,51.1,66.3167,8.37,81,100,13.78,KZ,1669867327
82,severo-yeniseyskiy,60.3725,93.0408,-2.61,97,100,4.23,RU,1669867327
83,beringovskiy,63.05,179.3167,29.62,91,100,13.71,RU,1669867328
84,east london,-33.0153,27.9116,65.34,94,40,8.05,ZA,1669867235
85,lagoa,39.05,-27.9833,61.5,76,0,9.28,PT,1669867328
86,tiksi,71.6872,128.8694,-11.79,98,100,14.83,RU,1669867329
87,mar del plata,-38.0023,-57.5575,64.09,99,100,9.22,AR,1669867032
88,trat,12.5,102.5,89.91,62,56,8.3,TH,1669867331
89,dongsheng,39.8161,109.9776,12.02,13,0,10.87,CN,1669867232
90,shelburne,44.0787,-80.2041,25.12,93,88,22.55,CA,1669867332
91,gushikawa,26.3544,127.8686,69.39,68,100,18.41,JP,1669867332
92,santa cruz,-17.8,-63.1667,77.7,59,92,5.39,BO,1669867211
93,kyren,51.6828,102.1408,2.73,78,17,0.74,RU,1669867333
94,faanui,-16.4833,-151.75,80.55,78,33,14.43,PF,1669867333
95,yaan,7.3833,8.5667,70.75,31,95,2.42,NG,1669867334
96,punta de bombon,-17.1717,-71.7931,66.92,77,19,4.43,PE,1669867335
97,hays,30.0502,-98.0336,45.28,57,4,1.99,US,1669867208
98,tevaitoa,-16.7833,-151.5,80.15,79,55,15.26,PF,1669867335
99,ruteng,-8.6136,120.4721,74.95,66,66,2.77,ID,1669867336
100,albany,42.6001,-73.9662,37.81,73,59,3.0,US,1669867183
101,las vegas,36.175,-115.1372,48.63,36,14,2.57,US,1669867207
102,nanton,50.3501,-113.7687,-1.19,90,100,10.04,CA,1669867340
103,yulara,-25.2406,130.9889,89.08,12,0,5.77,AU,1669867340
104,matara,5.9485,80.5353,82.31,72,100,5.12,LK,1669867340
105,lima,-12.0432,-77.0282,66.45,77,40,13.8,PE,1669867118
106,saldanha,-33.0117,17.9442,62.73,93,100,3.74,ZA,1669867342
107,tuktoyaktuk,69.4541,-133.0374,-0.11,97,100,4.21,CA,1669867342
108,khatanga,71.9667,102.5,-18.33,97,100,9.57,RU,1669867343
109,carnarvon,-24.8667,113.6333,75.99,63,4,12.93,AU,1669867343
110,akureyri,65.6835,-18.0878,40.73,73,36,21.05,IS,1669867344
111,cidreira,-30.1811,-50.2056,70.27,97,100,16.35,BR,1669867344
112,pochutla,15.7432,-96.4661,75.81,84,8,3.22,MX,1669867345
113,cairns,-16.9167,145.7667,85.06,80,100,5.75,AU,1669867083
114,yellowknife,62.456,-114.3525,-24.45,74,100,3.0,CA,1669867245
115,sayyan,15.1718,44.3244,48.29,38,0,3.74,YE,1669867346
116,sibu,2.3,111.8167,86.5,66,75,2.64,MY,1669867347
117,the valley,18.217,-63.0578,78.82,66,1,21.21,AI,1669867347
118,tasiilaq,65.6145,-37.6368,41.16,92,98,9.15,GL,1669867348
119,srednekolymsk,67.45,153.6833,-11.85,99,100,7.52,RU,1669867349
120,coquimbo,-29.9533,-71.3436,59.18,85,37,2.44,CL,1669867349
121,caravelas,-17.7125,-39.2481,74.59,95,100,1.12,BR,1669867350
122,garango,11.8,-0.5506,72.41,22,39,7.56,BF,1669867350
123,lagunas,-5.2269,-75.6753,80.46,69,94,1.9,PE,1669867351
124,belyy yar,53.6039,91.3903,-16.71,76,20,0.0,RU,1669867351
125,flinders,-34.5833,150.8552,69.26,57,98,8.81,AU,1669867351
126,ponta do sol,32.6667,-17.1,68.0,78,67,7.43,PT,1669867352
127,vila velha,-20.3297,-40.2925,74.95,97,100,12.97,BR,1669867352
128,takoradi,4.8845,-1.7554,77.65,86,52,3.98,GH,1669867352
129,san quintin,30.4833,-115.95,56.35,75,0,8.32,MX,1669867353
130,odemira,37.598,-8.6397,54.16,95,96,3.69,PT,1669867353
131,sainte-anne-des-monts,49.124,-66.4924,40.19,84,100,23.0,CA,1669867354
132,butaritari,3.0707,172.7902,81.5,76,22,12.19,KI,1669867354
133,clyde river,70.4692,-68.5914,-26.28,84,11,5.35,CA,1669867355
134,ahuimanu,21.4447,-157.8378,77.76,80,89,3.0,US,1669867355
135,gornopravdinsk,60.05,69.9,-14.94,96,68,3.09,RU,1669867356
136,dickinson,29.4608,-95.0513,54.95,57,0,13.8,US,1669867356
137,liku,-0.7275,119.8922,86.13,60,96,4.12,ID,1669867357
138,atar,20.5169,-13.0499,67.41,18,2,5.95,MR,1669867358
139,buzmeyin,38.0507,58.2056,43.77,52,100,5.79,TM,1669867358
140,tera,14.0078,0.7531,71.49,20,36,6.31,NE,1669867358
141,tura,25.5198,90.2201,75.9,54,0,0.6,IN,1669867359
142,saskylakh,71.9167,114.0833,-33.27,99,91,6.13,RU,1669867359
143,geraldton,-28.7667,114.6,75.61,57,75,13.8,AU,1669867082
144,ossora,59.2353,163.0719,32.97,98,100,3.24,RU,1669867360
145,grindavik,63.8424,-22.4338,43.27,87,75,25.32,IS,1669867360
146,nikolskoye,59.7035,30.7861,22.91,91,94,3.74,RU,1669867360
147,bac lieu,9.285,105.7244,84.67,71,100,14.81,VN,1669867203
148,barrow,71.2906,-156.7887,26.62,93,100,10.36,US,1669867361
149,bayeux,-7.125,-34.9322,76.96,78,98,6.67,BR,1669867361
150,smirnykh,49.75,142.8333,6.01,75,71,12.15,RU,1669867362
151,chokurdakh,70.6333,147.9167,-4.67,98,100,8.72,RU,1669867362
152,morgan city,29.6994,-91.2068,52.0,64,32,12.46,US,1669867064
153,pisco,-13.7,-76.2167,64.02,87,1,2.48,PE,1669867362
154,fort beaufort,-32.7748,26.6338,66.69,87,66,3.69,ZA,1669867363
155,broome,42.2506,-75.833,35.46,66,40,16.11,US,1669867363
156,tambura,5.6,27.4667,68.14,89,77,3.42,SS,1669867364
157,torbay,47.6666,-52.7314,24.28,89,21,10.92,CA,1669867244
158,constitucion,-35.3333,-72.4167,53.24,81,0,12.53,CL,1669867364
159,pevek,69.7008,170.3133,17.42,84,100,9.33,RU,1669867365
160,teguise,29.0605,-13.564,61.02,72,100,6.91,ES,1669867365
161,lebu,-37.6167,-73.65,52.23,78,0,19.84,CL,1669867365
162,bartica,6.4,-58.6167,69.93,99,27,2.59,GY,1669867365
163,saint-philippe,-21.3585,55.7679,80.19,71,16,9.04,RE,1669867366
164,saint-georges,12.0564,-61.7485,76.08,83,19,9.13,GD,1669867177
165,alamor,-4.0181,-80.0197,59.11,83,100,2.55,EC,1669867367
166,longyearbyen,78.2186,15.6401,35.44,87,75,11.5,SJ,1669867367
167,kazachinskoye,57.6953,93.2761,-0.58,94,100,10.22,RU,1669867368
168,avera,33.194,-82.5271,48.25,48,0,9.93,US,1669867368
169,springbok,-29.6643,17.8865,60.44,47,2,2.1,ZA,1669867368
170,pacific grove,36.6177,-121.9166,48.42,77,0,5.99,US,1669867369
171,bluff,-46.6,168.3333,50.81,59,66,22.26,NZ,1669867369
172,sanandaj,35.3144,46.9923,46.04,79,99,2.21,IR,1669867370
173,bambous virieux,-20.3428,57.7575,79.21,69,40,6.91,MU,1669867370
174,ola,59.5833,151.2833,22.46,73,100,14.76,RU,1669867370
175,dunedin,-45.8742,170.5036,52.81,85,94,5.01,NZ,1669867333
176,malanje,-9.5402,16.341,63.86,98,100,0.98,AO,1669867371
177,vao,-22.6667,167.4833,79.93,79,40,9.01,NC,1669867371
178,cabo san lucas,22.8909,-109.9124,75.51,75,21,4.52,MX,1669866913
179,beira,-19.8436,34.8389,71.64,69,36,9.35,MZ,1669867372
180,itaituba,-4.2761,-55.9836,72.68,98,25,1.39,BR,1669867372
181,misratah,32.3754,15.0925,59.63,57,47,14.5,LY,1669867372
182,herat,34.5,62.0,42.93,79,100,9.84,AF,1669867373
183,baiyin,36.5583,104.2081,24.49,25,100,6.71,CN,1669867373
184,qaanaaq,77.484,-69.3632,-23.26,87,31,3.83,GL,1669867374
185,wuhan,30.5833,114.2667,37.22,30,100,8.77,CN,1669867374
186,krasnovishersk,60.4078,57.082,2.71,99,85,2.21,RU,1669867374
187,alofi,-19.0595,-169.9187,79.47,78,100,3.87,NU,1669867375
188,kailua,21.4022,-157.7394,77.9,82,88,3.0,US,1669867292
189,sulphur springs,33.1385,-95.6011,39.15,56,0,0.0,US,1669867376
190,mount gambier,-37.8333,140.7667,66.24,56,40,11.3,AU,1669867376
191,hirara,24.8,125.2833,72.07,78,100,24.81,JP,1669867376
192,haines junction,60.7522,-137.5108,-1.52,89,99,1.01,CA,1669867377
193,alaca,40.1683,34.8425,46.67,83,100,2.77,TR,1669867377
194,kutum,14.2,24.6667,64.54,28,20,6.35,SD,1669867377
195,carballo,43.213,-8.691,49.91,87,6,4.74,ES,1669867378
196,quiruvilca,-7.9667,-78.2,38.12,91,98,4.0,PE,1669867378
197,komyshnya,50.1859,33.684,29.71,46,99,13.65,UA,1669867378
198,panguna,-6.3164,155.4848,73.62,90,100,1.57,PG,1669867379
199,ostrovnoy,68.0531,39.5131,24.33,90,100,6.82,RU,1669867379
200,cortez,37.3489,-108.5859,34.7,63,0,3.44,US,1669867379
201,guerrero negro,27.9769,-114.0611,58.98,76,7,10.07,MX,1669867380
202,trairi,-3.2778,-39.2689,78.26,75,43,9.17,BR,1669867211
203,ahipara,-35.1667,173.1667,62.26,64,93,14.07,NZ,1669867380
204,celendin,-6.8703,-78.1517,55.31,70,82,4.09,PE,1669867381
205,baruun-urt,46.6806,113.2792,-0.62,61,0,17.07,MN,1669867381
206,miyako,39.6367,141.9525,38.25,67,100,2.08,JP,1669867382
207,palmer,42.1584,-72.3287,42.85,59,62,3.0,US,1669867208
208,russell,32.3502,-85.1999,48.18,46,0,12.66,US,1669867382
209,sao filipe,14.8961,-24.4956,74.55,65,100,8.5,CV,1669867383
210,yumen,40.2833,97.2,16.0,59,100,8.93,CN,1669867383
211,trinidad,-14.8333,-64.9,81.59,54,33,4.63,BO,1669867384
212,kijang,35.2442,129.2139,38.75,19,100,6.31,KR,1669867384
213,khyriv,49.5333,22.8524,31.5,85,100,11.14,UA,1669867385
214,ixtapa,20.7,-105.2,73.22,80,16,1.01,MX,1669867385
215,bathsheba,13.2167,-59.5167,77.61,80,17,17.34,BB,1669867386
216,sampit,-2.5333,112.95,87.66,57,95,5.35,ID,1669867386
217,cocobeach,1.0002,9.5823,78.08,84,100,4.54,GA,1669867386
218,udimskiy,61.1417,45.9144,9.23,95,76,2.21,RU,1669867387
219,dong xoai,11.5333,106.9167,86.56,59,85,3.71,VN,1669867387
220,ayacucho,-13.1583,-74.2239,59.02,68,7,1.36,PE,1669867388
221,majene,-3.5403,118.9707,81.86,79,99,5.46,ID,1669867388
222,saint george,37.1041,-113.5841,45.95,35,0,6.91,US,1669867324
223,aushiger,43.3961,43.7317,33.78,91,98,3.69,RU,1669867389
224,leningradskiy,69.3833,178.4167,12.31,90,100,10.36,RU,1669867389
225,kavieng,-2.5744,150.7967,84.61,66,87,4.99,PG,1669867390
226,sitka,57.0531,-135.33,22.48,44,6,1.95,US,1669867390
227,cabedelo,-6.9811,-34.8339,78.33,75,98,9.46,BR,1669867391
228,lunenburg,44.3835,-64.3155,51.49,91,100,29.93,CA,1669867032
229,williamsport,41.2412,-77.0011,34.83,59,6,1.01,US,1669867151
230,sterling,39.0062,-77.4286,42.71,46,0,19.57,US,1669867178
231,la asuncion,11.0333,-63.8628,75.51,80,3,6.93,VE,1669867391
232,norman wells,65.282,-126.8329,4.19,97,100,2.28,CA,1669867392
233,xiamen,24.4798,118.0819,63.25,64,89,15.05,CN,1669867393
234,nelson bay,-32.7167,152.15,69.85,69,100,7.0,AU,1669867393
235,bilibino,68.0546,166.4372,13.69,92,100,5.61,RU,1669867394
236,saint anthony,45.0205,-93.218,13.93,77,0,5.75,US,1669867244
237,diego de almagro,-26.3667,-70.05,57.52,72,0,0.81,CL,1669867394
238,vestmanna,62.1564,-7.1664,47.32,100,100,16.11,FO,1669867394
239,homer,59.6425,-151.5483,30.07,87,100,0.0,US,1669867395
240,mercedes,-34.6515,-59.4307,66.63,90,100,12.01,AR,1669867395
241,sami,13.5833,-15.2,75.47,31,85,5.57,GM,1669867396
242,kampot,10.6167,104.1833,80.65,66,100,7.63,KH,1669867396
243,bredasdorp,-34.5322,20.0403,63.05,78,90,4.83,ZA,1669867396
244,llandrindod wells,52.2416,-3.3787,40.95,94,73,2.28,GB,1669867397
245,valdivia,-39.8142,-73.2459,43.93,75,0,2.8,CL,1669867326
246,livingstone,-17.8419,25.8543,64.0,56,0,5.7,ZM,1669867398
247,san andres,12.5847,-81.7006,82.11,75,16,17.58,CO,1669867398
248,taoudenni,22.6783,-3.9836,60.69,22,14,8.99,ML,1669867399
249,qaqortoq,60.7167,-46.0333,19.6,82,66,5.48,GL,1669867399
250,port hawkesbury,45.6169,-61.3485,44.91,84,100,18.99,CA,1669867400
251,san patricio,28.017,-97.5169,58.86,60,24,8.86,US,1669867400
252,murdochville,48.9583,-65.5006,32.5,96,100,22.46,CA,1669867401
253,buritis,-15.6178,-46.4233,69.13,94,76,1.36,BR,1669867401
254,souillac,-20.5167,57.5167,79.18,69,40,6.91,MU,1669867402
255,esperance,-33.8667,121.9,86.32,34,0,8.28,AU,1669867402
256,dingle,10.9995,122.6711,83.59,76,80,15.08,PH,1669867402
257,upernavik,72.7868,-56.1549,6.35,91,100,19.24,GL,1669867403
258,culebra,18.303,-65.301,78.01,83,1,8.99,PR,1669867403
259,havre-saint-pierre,50.2334,-63.5986,32.36,93,100,16.11,CA,1669867404
260,chapais,49.7834,-74.8492,28.18,90,100,13.15,CA,1669867404
261,ozernovskiy,51.5,156.5167,30.04,54,100,26.82,RU,1669867404
262,eureka,40.8021,-124.1637,49.62,95,100,4.0,US,1669867405
263,siraha,26.6541,86.2087,72.48,51,0,4.79,NP,1669867405
264,jalu,29.0331,21.5482,53.96,50,0,3.51,LY,1669867406
265,narsaq,60.9167,-46.05,30.42,90,62,4.74,GL,1669867406
266,husavik,66.0449,-17.3389,41.14,84,56,15.7,IS,1669867407
267,neuquen,-38.9516,-68.0591,62.55,34,12,13.6,AR,1669867377
268,hilo,19.7297,-155.09,79.29,97,84,4.59,US,1669867208
269,uyemskiy,64.4743,40.8524,15.85,92,40,0.0,RU,1669867407
270,boa vista,2.8197,-60.6733,76.53,74,99,9.04,BR,1669867408
271,pyinmana,19.7333,96.2167,84.54,62,38,3.78,MM,1669867408
272,prince rupert,54.3161,-130.3201,17.58,48,0,8.59,CA,1669867222
273,olinda,-8.0089,-34.8553,78.03,75,100,8.08,BR,1669867259
274,port blair,11.6667,92.75,84.24,79,75,6.91,IN,1669867225
275,lyubech,51.7026,30.6569,19.22,87,22,7.47,UA,1669867409
